NAME,SHORTNAME
Equity Lifestyle Properties Inc.,Equity Lifestyle Properties
Electro-Sensors Inc.,Electro-Sensors
Eltek Ltd.,Eltek
Elevate Credit Inc.,Elevate Credit
Callaway Golf Company,Callaway Golf Company
VanEck Vectors Emerging Markets Aggregate Bond,VanEck Vectors Emerging Markets Aggregate Bond
eMagin Corporation,eMagin
iShares J.P. Morgan USD Emerging Markets Bond ETF,iShares J.P. Morgan USD Emerging Markets Bond ETF
WisdomTree Emerging Markets Corporate Bond Fund,WisdomTree Emerging Markets Corporate Bond Fund
Emclaire Financial Corp,Emclaire Financial
EMC Insurance Group Inc.,EMC Insurance
Western Asset Emerging Markets Debt Fund Inc,Western Asset Emerging Markets Debt Fund
EMCOR Group Inc.,EMCOR
Emerge Energy Services LP representing Limited Partner Interests,Emerge Energy Services representing Limited Partner Interests
Templeton Emerging Markets Fund,Templeton Emerging Markets Fund
iShares S&P Emerging Markets Infrastructure Ix Fd,iShares S&P Emerging Markets Infrastructure Ix Fd
Elbit Imaging Ltd.,Elbit Imaging
EMCORE Corporation,EMCORE
Eastern Company (The),Eastern Company (The)
VanEck Vectors J.P. Morgan EM Local Currency Bond,VanEck Vectors J.P. Morgan EM Local Currency Bond
First Trust North American Energy Infrastructure Fund,First Trust North American Energy Infrastructure Fund
Emmis Communications Corporation,Emmis Communications
Eastman Chemical Company,Eastman Chemical Company
ClearBridge Energy Midstream Opportunity Fund Inc.,ClearBridge Energy Midstream Opportunity Fund
Emerson Electric Company,Emerson Electric Company
EMX Royalty Corporation (Canada),EMX Royalty (Canada)
Enbridge Inc,Enbridge
Enable Midstream Partners LP representing limited partner interests,Enable Midstream Partners representing limited partner interests
Endo International plc,Endo International plc
Entegra Financial Corp.,Entegra Financial
ENGlobal Corporation,ENGlobal
Enel Americas S.A. American Depositary Shares,Enel Americas S.A. American Depositary Shares
Enel Chile S.A. American Depositary Shares (Each representing 50 shares of),Enel Chile S.A. American Depositary Shares (Each representing 50 shares of)
EnLink Midstream LLC representing Limited Partner Interests,EnLink Midstream LLC representing Limited Partner Interests
Enochian Biosciences Inc.,Enochian Biosciences
Enphase Energy Inc.,Enphase Energy
Energizer Holdings Inc.,Energizer
EnerSys,EnerSys
The Ensign Group Inc.,The Ensign
Enservco Corporation,Enservco
Global Eagle Entertainment Inc.,Global Eagle Entertainment
Enanta Pharmaceuticals Inc.,Enanta Pharmaceuticals
Entegris Inc.,Entegris
Entera Bio Ltd.,Entera Bio
Envestnet Inc,Envestnet
Enova International Inc.,Enova International
Eaton Vance New York Municipal Bond Fund of Beneficial Interest $.01 par value,Eaton Vance New York Municipal Bond Fund of Beneficial Interest $.01 par value
Enzo Biochem Inc. ($0.01 Par Value),Enzo Biochem ($0.01 Par Value)
iShares MSCI New Zealand ETF,iShares MSCI New Zealand ETF
Wells Fargo Global Dividend Opportunity Fund,Wells Fargo Global Dividend Opportunity Fund
EOG Resources Inc.,EOG Resources
Eaton Vance Enhance Equity Income Fundd Equity Income Fund Shares of Beneficial Interest,Eaton Vance Enhance Equity Income Fundd Equity Income Fund Shares of Beneficial Interest
Evolus Inc.,Evolus
Eaton Vance Enhance Equity Income Fund II,Eaton Vance Enhance Equity Income Fund II
Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST
EPAM Systems Inc.,EPAM Systems
Bottomline Technologies Inc.,Bottomline
Edgewell Personal Care Company,Edgewell Personal Care Company
Enterprise Products Partners L.P.,Enterprise Products Partners
EP Energy Corporation Class A,EP Energy
iShares MSCI Philippines,iShares MSCI Philippines
WisdomTree India Earnings Fund,WisdomTree India Earnings Fund
ESSA Pharma Inc.,ESSA Pharma
Evolution Petroleum Corporation Inc.,Evolution Petroleum
iShares Trust MSCI Poland,iShares Trust MSCI Poland
iShares MSCI Pacific Ex-Japan Index Fund,iShares MSCI Pacific Ex-Japan Index Fund
EPR Properties,EPR Properties
Essential Properties Realty Trust Inc.,Essential Properties Realty Trust
WisdomTree U.S. Earnings 500 Fund,WisdomTree U.S. Earnings 500 Fund
iShares Trust MSCI Peru,iShares Trust MSCI Peru
Epizyme Inc.,Epizyme
Equillium Inc.,Equillium
Equity Bancshares Inc.,Equity Bancshares
Equity Commonwealth of Beneficial Interest,Equity Commonwealth of Beneficial Interest
AXA Equitable Holdings Inc.,AXA Equitable
Equinix Inc.,Equinix
ALPS Equal Sector Weight,ALPS Equal Sector Weight
"EQM Midstream Partners, LP","EQM Midstream Partners,"
Equinor ASA,Equinor ASA
Equity Residential of Beneficial Interest,Equity Residential of Beneficial Interest
Equus Total Return Inc.,Equus Total Return
EQT Corporation,EQT
Invesco Russell Top 200 Equal Weight,Invesco Russell Top 200 Equal Weight
Invesco Russell Midcap Equal Weight,Invesco Russell Midcap Equal Weight
Invesco Russell 2000 Equal Weight,Invesco Russell 2000 Equal Weight
Era Group Inc.,Era
Wells Fargo Multi-Sector Income Fund no par value,Wells Fargo Multi-Sector Income Fund no par value
Enerplus Corporation,Enerplus
Wells Fargo Utilities and High Income Fund,Wells Fargo Utilities and High Income Fund
Eldorado Resorts Inc.,Eldorado Resorts
Ericsson,Ericsson
Erie Indemnity Company,Erie Indemnity Company
Energy Recovery Inc.,Energy Recovery
Embraer S.A.,Embraer S.A.
Eros International PLC A,Eros International PLC
Direxion Energy Bull 3X Shares,Direxion Energy Bull 3X Shares
Direxion Daily Energy Bear 3X Shares,Direxion Daily Energy Bear 3X Shares
Erytech Pharma S.A.,Erytech Pharma S.A.
Eversource Energy (D/B/A),Eversource Energy (D/B/A)
Empire State Realty OP L.P. Series ES Operating Partnership Units Representing Limited Partnership Interests,Empire State Realty OP Series ES Operating Partnership Units Representing Limited Partnership Interests
Elmira Savings Bank NY (The),Elmira Savings Bank NY (The)
Escalade Incorporated,Escalade Incorporated
ESCO Technologies Inc.,ESCO
Euroseas Ltd.,Euroseas
Enstar Group Limited,Enstar Limited
Element Solutions Inc.,Element Solutions
Esterline Technologies Corporation,Esterline
Elbit Systems Ltd.,Elbit Systems
EnSync Inc.,EnSync
Essent Group Ltd.,Essent
Espey Mfg. & Electronics Corp.,Espey Mfg. & Electronics
Esperion Therapeutics Inc.,Esperion Therapeutics
Esquire Financial Holdings Inc.,Esquire Financial
Empire State Realty Trust Inc. Class A,Empire State Realty Trust
Essex Property Trust Inc.,Essex Property Trust
ESSA Bancorp Inc.,ESSA Bancorp
Establishment Labs Holdings Inc.,Establishment Labs
Elastic N.V.,Elastic N.V.
Earthstone Energy Inc. Class A,Earthstone Energy
Estre Ambiental Inc.,Estre Ambiental
Ensco plc Class A,Ensco plc
Community Bankers Trust Corporation.,Community Bankers Trust Corporation.
Energy Transfer LP,Energy Transfer
Eaton Vance Tax-Managed Buy-Write Income Fund of Beneficial Interest,Eaton Vance Tax-Managed Buy-Write Income Fund of Beneficial Interest
E*TRADE Financial Corporation,E*TRADE Financial
Eaton Vance Tax-Advantaged Global Dividend Income Fund of Beneficial Interest,Eaton Vance Tax-Advantaged Global Dividend Income Fund of Beneficial Interest
Ethan Allen Interiors Inc.,Ethan Allen Interiors
Eaton Vance Risk-Managed Diversified Equity Income Fund of Beneficial Interest,Eaton Vance Risk-Managed Diversified Equity Income Fund of Beneficial Interest
Entercom Communications Corp.,Entercom Communications
Eaton Corporation PLC,Eaton PLC
Eaton Vance Tax-Advantage Global Dividend Opp,Eaton Vance Tax-Advantage Global Dividend Opp
Eton Pharmaceutcials Inc.,Eton Pharmaceutcials
Entergy Corporation,Entergy
Equitrans Midstream Corporation,Equitrans Midstream
Etsy Inc.,Etsy
Entasis Therapeutics Holdings Inc.,Entasis Therapeutics
Eaton Vance Corporation Tax-Managed Buy-Write Opportunities Fund of Beneficial Interest,Eaton Vance Tax-Managed Buy-Write Opportunities Fund of Beneficial Interest
Eaton Vance Corporation Tax-Managed Global Buy-Write Opportunites Fund of Beneficial Interest,Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund of Beneficial Interest
Eaton Vance Municipal Income 2028 Term Trust of Beneficial Interest,Eaton Vance Municipal Income 2028 Term Trust of Beneficial Interest
Eaton Vance Tax-Managed Diversified Equity Income Fund of Beneficial Interest,Eaton Vance Tax-Managed Diversified Equity Income Fund of Beneficial Interest
iShares MSCI Europe Financial Sector Index Fund,iShares MSCI Europe Financials Sector Index Fund
ProShares Short Euro,ProShares Short Euro
ProShares Short MSCI Emerging Markets,ProShares Short MSCI Emerging Markets
ProShares UltraShort Euro,ProShares UltraShort Euro
Euronav NV,Euronav NV
iShares MSCI USA Equal Weighted,iShares MSCI USA Equal Weighted
Eaton Vance Corporation,Eaton Vance
Enviva Partners LP representing limited partner interests,Enviva Partners representing limited partner interests
Everbridge Inc.,Everbridge
Evans Bancorp Inc.,Evans Bancorp
Entravision Communications Corporation,Entravision Communications
EverQuote Inc.,EverQuote
Eaton Vance Senior Income Trust,Eaton Vance Senior Income Trust
Evofem Biosciences Inc.,Evofem Biosciences
Eaton Vance Short Diversified Income Fund Duration Diversified Income Fund of Beneficial Interest,Eaton Vance Short Diversified Income Fund Duration Diversified Income Fund of Beneficial Interest
Evogene Ltd.,Evogene
Evolent Health Inc Class A,Evolent Health
EVI Industries Inc.,EVI Industries
Eaton Vance New Jersey Municipal Income Trust Shares of Beneficial Interest,Eaton Vance New Jersey Municipal Income Trust Shares of Beneficial Interest
Ever-Glory International Group Inc.,Ever-Glory International
Evelo Biosciences Inc.,Evelo Biosciences
EVINE Live Inc.,EVINE Live
Eaton Vance California Municipal Bond Fund of Beneficial Interest $.01 par value,Eaton Vance California Municipal Bond Fund of Beneficial Interest $.01 par value
Eaton Vance Municipal Income Trust,Eaton Vance Municipal Income Trust
Evoke Pharma Inc.,Evoke Pharma
Evolving Systems Inc.,Evolving Systems
EVO Payments Inc.,EVO Payments
Evercore Inc. Class A,Evercore
Evergy Inc.,Evergy
Everi Holdings Inc.,Everi
Eaton Vance Tax Advantaged Dividend Income Fund of Beneficial Interest,Eaton Vance Tax Advantaged Dividend Income Fund of Beneficial Interest
Evertec Inc.,Evertec
Eaton Vance Limited Duration Income Fund of Beneficial Interest,Eaton Vance Limited Duration Income Fund of Beneficial Interest
VanEck Vectors Environmental Services,VanEck Vectors Environmental Services
Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest
Edwards Lifesciences Corporation,Edwards Lifesciences
iShares MSCI Australia Index Fund,iShares MSCI Australia Index Fund
East West Bancorp Inc.,East West Bancorp
iShares MSCI Canada Index Fund,iShares MSCI Canada Index Fund
iShares Inc MSCI Sweden,iShares MSCI Sweden
Invesco MSCI Emerging Markets Equal Country Weight,Invesco MSCI Emerging Markets Equal Country Weight
iShares MSCI Germany Index Fund,iShares MSCI Germany Index Fund
iShares MSCI Hong Kong Index Fund,iShares MSCI Hong Kong Index Fund
iShares Inc MSCI Belgium,iShares MSCI Belgium
iShares Inc MSCI Switzerland,iShares MSCI Switzerland
Invesco S&P MidCap 400 Equal Weight,Invesco S&P MidCap 400 Equal Weight
iShares MSCI Netherlands Index Fund,iShares MSCI Netherlands Index Fund
iShares Inc MSCI Austria,iShares MSCI Austria
iShares Inc MSCI Spain,iShares MSCI Spain
iShares MSCI France Index Fund,iShares MSCI France Index Fund
Invesco S&P SmallCap 600 Equal Weight,Invesco S&P SmallCap 600 Equal Weight
ProShares UltraShort MSCI Japan,ProShares UltraShort MSCI Japan
iShares Inc MSCI Mexico,iShares MSCI Mexico
SPDR S&P Emerging Markets Small Cap,SPDR S&P Emerging Markets Small Cap
iShares Inc MSCI South Korea,iShares MSCI South Korea
iShares Inc MSCI Brazil,iShares MSCI Brazil
iShares MSCI Brazil Small-Cap ETF,iShares MSCI Brazil Small-Cap ETF
Exact Sciences Corporation,Exact Sciences
Exelon Corporation,Exelon
Eaton Vance Tax-Advantaged Bond of Beneficial Interest,Eaton Vance Tax-Advantaged Bond of Beneficial Interest
Exelixis Inc.,Exelixis
EXFO Inc,EXFO
Eaton Vance Tax-Managed Global Diversified Equity Income Fund of Beneficial Interest,Eaton Vance Tax-Managed Global Diversified Equity Income Fund of Beneficial Interest
iShares Global Industrials,iShares Global Industrials
Endeavour Silver Corporation (Canada),Endeavour Silver (Canada)
ExlService Holdings Inc.,ExlService
Eagle Materials Inc,Eagle Materials
Expeditors International of Washington Inc.,Expeditors International of Washington
Expedia Group Inc.,Expedia
eXp World Holdings Inc.,eXp World
Exponent Inc.,Exponent
Express Inc.,Express
Extra Space Storage Inc,Extra Space Storage
WisdomTree U.S. Total Earnings Fund,WisdomTree U.S. Total Earnings Fund
Exterran Corporation,Exterran
Extreme Networks Inc.,Extreme Networks
National Vision Holdings Inc.,National Vision
Eyegate Pharmaceuticals Inc.,Eyegate Pharmaceuticals
Eyenovia Inc.,Eyenovia
Second Sight Medical Products Inc.,Second Sight Medical Products
EyePoint Pharmaceuticals Inc.,EyePoint Pharmaceuticals
iShares MSCI South Africa Index Fund,iShares MSCI South Africa Index Fund
ProShares Ultra MSCI Japan,ProShares Ultra MSCI Japan
WisdomTree U.S. MidCap Earnings Fund,WisdomTree U.S. MidCap Earnings Fund
EZCORP Inc.,EZCORP
iShares MSCI Eurozone,iShares MSCI Eurozone
Ford Motor Company,Ford Motor Company
First Trust Multi Cap Value AlphaDEX Fund,First Trust Multi Cap Value AlphaDEX Fund
First Trust Multi Cap Growth AlphaDEX Fund,First Trust Multi Cap Growth AlphaDEX Fund
First American Corporation (New),First American (New)
First Trust/Aberdeen Global Opportunity Income Fund of Beneficial Interest,First Trust/Aberdeen Global Opportunity Income Fund of Beneficial Interest
Farmmi INC.,Farmmi
First Trust Global Wind Energy,First Trust Global Wind Energy
Diamondback Energy Inc.,Diamondback Energy
Fanhua Inc.,Fanhua
Farmer Brothers Company,Farmer Brothers Company
FARO Technologies Inc.,FARO
Direxion Financial Bull 3X Shares,Direxion Financial Bull 3X Shares
Fastenal Company,Fastenal Company
FAT Brands Inc.,FAT Brands
Fate Therapeutics Inc.,Fate Therapeutics
First Trust Australia AlphaDex fund,First Trust Australia AlphaDex fund
Aberdeen Asia-Pacific Income Fund Inc,Aberdeen Asia-Pacific Income Fund
Facebook Inc.,Facebook
Flagstar Bancorp Inc.,Flagstar Bancorp
Fortune Brands Home & Security Inc.,Fortune Brands Home & Security
Fortress Biotech Inc.,Fortress Biotech
First Business Financial Services Inc.,First Business Financial Services
FB Financial Corporation,FB Financial
Foundation Building Materials Inc.,Foundation Building Materials
The First Bancshares Inc.,The First Bancshares
First Bancorp,First Bancorp
First BanCorp.,First BanCorp.
Fauquier Bankshares Inc.,Fauquier Bankshares
First Trust Amex Biotech Index Fund,First Trust Amex Biotech Index Fund
First Trust Brazil AlphaDEX Fund,First Trust Brazil AlphaDEX Fund
Franklin Covey Company,Franklin Covey Company
First Trust China AlphaDEX Fund,First Trust China AlphaDEX Fund
First Trust Canada AlphaDEX Fund,First Trust Canada AlphaDEX Fund
First Capital Inc.,First Capital
Fiat Chrysler Automobiles N.V.,Fiat Chrysler Automobiles N.V.
First Community Bankshares Inc.,First Community Bankshares
First Choice Bancorp,First Choice Bancorp
First Community Corporation,First Community
1st Constitution Bancorp (NJ),1st Constitution Bancorp (NJ)
FuelCell Energy Inc.,FuelCell Energy
First Commonwealth Financial Corporation,First Commonwealth Financial
FirstCash Inc.,FirstCash
FTI Consulting Inc.,FTI Consulting
First Citizens BancShares Inc. Class A Common Stock,First Citizens BancShares Common Stock
Aberdeen Global Income Fund Inc.,Aberdeen Global Income Fund
Four Corners Property Trust Inc.,Four Corners Property Trust
Fibrocell Science Inc.,Fibrocell Science
First Trust Senior Floating Rate Income Fund II of Beneficial Interest,First Trust Senior Floating Rate Income Fund II of Beneficial Interest
Freeport-McMoRan Inc.,Freeport-McMoRan
Fidelity D & D Bancorp Inc.,Fidelity D & D Bancorp
First Data Corporation Class A,First Data
First Trust Dow Jones STOXX Select Dividend 30 Index Fund,First Trust Dow Jones STOXX Select Dividend 30 Index Fund
First Defiance Financial Corp.,First Defiance Financial
First Trust Dynamic Europe Equity Income Fund of Beneficial Interest,First Trust Dynamic Europe Equity Income Fund of Beneficial Interest
First Trust Morningstar,First Trust Morningstar
First Trust DJ Select MicroCap,First Trust DJ Select MicroCap
First Trust DJ Internet Index Fund,First Trust DJ Internet Index Fund
Fresh Del Monte Produce Inc.,Fresh Del Monte Produce
FactSet Research Systems Inc.,FactSet Research Systems
First Trust Developed Markets Ex-US AlphaDEX Fund,First Trust Developed Markets Ex-US AlphaDEX Fund
First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund
Fidus Investment Corporation,Fidus Investment
FedEx Corporation,FedEx
FirstEnergy Corp.,FirstEnergy
Four Seasons Education (Cayman) Inc. American Depositary Shares each two ADSs representing one,Four Seasons Education (Cayman) American Depositary Shares each two ADSs representing one
First Trust MLP and Energy Income Fund of Beneficial Interest,First Trust MLP and Energy Income Fund of Beneficial Interest
Frequency Electronics Inc.,Frequency Electronics
Franklin Electric Co. Inc.,Franklin Electric Co.
Foresight Energy LP representing Limited Partner Interests,Foresight Energy representing Limited Partner Interests
First Trust Emerging Markets AlphaDEX Fund,First Trust Emerging Markets AlphaDEX Fund
First Trust Emerging Markets Small Cap AlphaDEX Fund,First Trust Emerging Markets Small Cap AlphaDEX Fund
First Trust Energy Income and Growth Fund,First Trust Energy Income and Growth Fund
Fennec Pharmaceuticals Inc.,Fennec Pharmaceuticals
Phoenix New Media Limited American Depositary Shares each representing 8 Class A.,Phoenix New Media Limited American Depositary Shares each representing 8 A.
First Trust/Aberdeen Emerging Opportunity Fund of Beneficial Interest,First Trust/Aberdeen Emerging Opportunity Fund of Beneficial Interest
First Trust Europe AlphaDEX Fund,First Trust Europe AlphaDEX Fund
Forum Energy Technologies Inc.,Forum Energy
SPDR DJ STOXX 50 Etf,SPDR DJ STOXX 50 Etf
First Trust Large Cap Core AlphaDEX Fund,First Trust Large Cap Core AlphaDEX Fund
FireEye Inc.,FireEye
SPDR DJ Euro STOXX 50 Etf,SPDR DJ Euro STOXX 50 Etf
FutureFuel Corp.,FutureFuel
First Trust Enhanced Equity Income Fund,First Trust Enhanced Equity Income Fund
First Financial Bancorp.,First Financial Bancorp.
FFBW Inc.,FFBW
Flaherty & Crumrine Preferred Securities Income Fund Incorporated,Flaherty & Crumrine Preferred Securities Income Fund Incorporated
FBL Financial Group Inc.,FBL Financial
Fuwei Films (Holdings) Co. Ltd.,Fuwei Films (Holdings) Co.
Flushing Financial Corporation,Flushing Financial
First Financial Bankshares Inc.,First Financial Bankshares
F5 Networks Inc.,F5 Networks
First Financial Northwest Inc.,First Financial Northwest
First Trust FTSE EPRA/NAREIT Global Real Estate Index Fund,First Trust FTSE EPRA/NAREIT Global Real Estate Index Fund
First Foundation Inc.,First Foundation
FGL Holdings,FGL
First Trust Specialty Finance and Financial Opportunities Fund,First Trust Specialty Finance and Financial Opportunities Fund
First Guaranty Bancshares Inc.,First Guaranty Bancshares
First Trust DJ Global Select Dividend,First Trust DJ Global Select Dividend
FibroGen Inc,FibroGen
First Trust Germany AlphaDEX Fund,First Trust Germany AlphaDEX Fund
Ferrellgas Partners L.P.,Ferrellgas Partners
First Hawaiian Inc.,First Hawaiian
First Horizon National Corporation,First Horizon National
Frank's International N.V.,Frank's International N.V.
First Interstate BancSystem Inc.,First Interstate BancSystem
Fair Isaac Corproation,Fair Isaac Corproation
First Trust Energy Infrastructure Fund of Beneficial Interest,First Trust Energy Infrastructure Fund of Beneficial Interest
Federated Investors Inc.,Federated Investors
iShares MSCI Global Energy Producers Fund,iShares MSCI Global Energy Producers Fund
ProShares UltraPro Financial Select Sector,ProShares UltraPro Financial Select Sector
Fidelity National Information Services Inc.,Fidelity National Information Services
Financial Institutions Inc.,Financial Institutions
Empire State Realty OP L.P. Series 250 Operating Partnership Units Representing Limited Partnership Interests,Empire State Realty OP Series 250 Operating Partnership Units Representing Limited Partnership Interests
Fiserv Inc.,Fiserv
Fitbit Inc. Class A,Fitbit
Fifth Third Bancorp,Fifth Third Bancorp
First Trust Senior Floating Rate 2022 Target Term Fund of Beneficial Interest,First Trust Senior Floating Rate 2022 Target Term Fund of Beneficial Interest
Five Below Inc.,Five Below
Five9 Inc.,Five9
First Trust Water,First Trust Water
Comfort Systems USA Inc.,Comfort Systems USA
Homology Medicines Inc.,Homology Medicines
National Beverage Corp.,National Beverage
First Trust Japan AlphaDEX Fund,First Trust Japan AlphaDEX Fund
First Trust South Korea AlphaDEX Fund,First Trust South Korea AlphaDEX Fund
First Trust United Kingdom AlphaDEX Fund,First Trust United Kingdom AlphaDEX Fund
Foot Locker Inc.,Foot Locker
iPath US Treasury Flattener ETN,iPath US Treasury Flattener ETN
Flaherty & Crumrine Total Return Fund Inc,Flaherty & Crumrine Total Return Fund
Fluidigm Corporation,Fluidigm
Flex Ltd.,Flex
Federal Life Group Inc.,Federal Life
Fulgent Genetics Inc.,Fulgent Genetics
The First of Long Island Corporation,The First of Long Island
FLIR Systems Inc.,FLIR Systems
Flex Pharma Inc.,Flex Pharma
Full House Resorts Inc.,Full House Resorts
First Trust Global Engineering and Construction,First Trust Global Engineering and Construction
Falcon Minerals Corporation,Falcon Minerals
First Trust Latin America AlphaDEX Fund,First Trust Latin America AlphaDEX Fund
Fluent Inc.,Fluent
Flowers Foods Inc.,Flowers Foods
iShares Floating Rate Bond,iShares Floating Rate Bond
SPX FLOW Inc.,SPX FLOW
Fluor Corporation,Fluor
SPDR Bloomberg Barclays Investment Grade Floating Rate,SPDR Bloomberg Barclays Investment Grade Floating Rate
Flowserve Corporation,Flowserve
FleetCor Technologies Inc.,FleetCor
VanEck Vectors Investment Grade Floating Rate,VanEck Vectors Investment Grade Floating Rate
1-800 FLOWERS.COM Inc.,1-800 FLOWERS.COM
Flexion Therapeutics Inc.,Flexion Therapeutics
Flexsteel Industries Inc.,Flexsteel Industries
Fly Leasing Limited,Fly Leasing Limited
iShares MSCI Frontier 100 Fund,iShares MSCI Frontier 100 Fund
Farmers & Merchants Bancorp Inc.,Farmers & Merchants Bancorp
First Mid-Illinois Bancshares Inc.,First Mid-Illinois Bancshares
First Midwest Bancorp Inc.,First Midwest Bancorp
FMC Corporation,FMC
Forum Merger II Corporation,Forum Merger II
First Trust Mega Cap AlphaDEX Fund,First Trust Mega Cap AlphaDEX Fund
Federated Premier Municipal Income Fund,Federated Premier Municipal Income Fund
Farmers National Banc Corp.,Farmers National Banc
Fiduciary/Claymore Energy Infrastructure Fund of Beneficial Interest,Fiduciary/Claymore Energy Infrastructure Fund of Beneficial Interest
Fresenius Medical Care AG,Fresenius Medical Care AG
Fomento Economico Mexicano S.A.B. de C.V.,Fomento Economico Mexicano S.A.B. de C.V.
First Trust Motgage Income Fund of Beneficial Interest,First Trust Motgage Income Fund of Beneficial Interest
Fabrinet,Fabrinet
F.N.B. Corporation,F.N.B.
FNCB Bancorp Inc.,FNCB Bancorp
Floor & Decor Holdings Inc.,Floor & Decor
FNF Group of Fidelity National Financial Inc.,FNF of Fidelity National Financial
FedNat Holding Company,FedNat Holding Company
First Trust Chindia,First Trust Chindia
Finjan Holdings Inc.,Finjan
First Trust Mid Cap Value AlphaDEX Fund,First Trust Mid Cap Value AlphaDEX Fund
Funko Inc.,Funko
First Bancorp Inc (ME),First Bancorp (ME)
Finisar Corporation,Finisar
Franco-Nevada Corporation,Franco-Nevada
First Northwest Bancorp,First Northwest Bancorp
First Trust Mid Cap Core AlphaDEX Fund,First Trust Mid Cap Core AlphaDEX Fund
First Trust Mid Cap Growth AlphaDEX Fund,First Trust Mid Cap Growth AlphaDEX Fund
Focus Financial Partners Inc.,Focus Financial Partners
Ferro Corporation,Ferro
Cohen & Steers Closed-End Opportunity Fund Inc.,Cohen & Steers Closed-End Opportunity Fund
Amicus Therapeutics Inc.,Amicus Therapeutics
Foamix Pharmaceuticals Ltd.,Foamix Pharmaceuticals
First Trust NASDAQ OMX CEA Smartphone Index Fund,First Trust NASDAQ OMX CEA Smartphone Index Fund
Fonar Corporation,Fonar
Forestar Group Inc,Forestar
Forward Industries Inc.,Forward Industries
Fuling Global Inc.,Fuling Global
FormFactor Inc.,FormFactor
Forrester Research Inc.,Forrester Research
Formula Systems (1985) Ltd. ADS represents 1 ordinary shares,Formula Systems (1985) ADS represents 1 ordinary shares
Fossil Group Inc.,Fossil
Twenty-First Century Fox Inc.,Twenty-First Century Fox
Twenty-First Century Fox Inc.,Twenty-First Century Fox
Fox Factory Holding Corp.,Fox Factory Holding
First Trust Asia Pacific Ex-Japan AlphaDEX Fund,First Trust Asia Pacific Ex-Japan AlphaDEX Fund
Far Point Acquisition Corporation Class A,Far Point Acquisition
FlexShopper Inc.,FlexShopper
First Trust Intermediate Duration Preferred & Income Fund of Beneficial Interest,First Trust Intermediate Duration Preferred & Income Fund of Beneficial Interest
Five Point Holdings LLC Class A,Five Point LLC
Farmland Partners Inc.,Farmland Partners
Farmland Partners Inc. Series B Participating Preferred Stock,Farmland Partners Series B Participating Preferred Stock
First Trust New Opportunities MLP & Energy Fund of Beneficial Interest,First Trust New Opportunities MLP & Energy Fund of Beneficial Interest
Five Prime Therapeutics Inc.,Five Prime Therapeutics
First Trust US Equity Opportunities,First Trust US Equity Opportunities
First Industrial Realty Trust Inc.,First Industrial Realty Trust
Blackrock Floating Rate Income Strategies Fund Inc,Blackrock Floating Rate Income Strategies Fund
Keane Group Inc.,Keane
VanEck Vectors Unconventional Oil & Gas,VanEck Vectors Unconventional Oil & Gas
Francesca's Holdings Corporation,Francesca's
First Bank,First Bank
Republic First Bancorp Inc.,Republic First Bancorp
FIRST REPUBLIC BANK,FIRST REPUBLIC BANK
Friedman Industries Inc.,Friedman Industries
Fred's Inc.,Fred's
Fiesta Restaurant Group Inc.,Fiesta Restaurant
First Trust S&P REIT Index Fund,First Trust S&P REIT Index Fund
First Merchants Corporation,First Merchants
Invesco Frontier Markets,Invesco Frontier Markets
Frontline Ltd.,Frontline
FRP Holdings Inc.,FRP
Freshpet Inc.,Freshpet
Papa Murphy's Holdings Inc.,Papa Murphy's
Foresight Autonomous Holdings Ltd.,Foresight Autonomous
Federal Realty Investment Trust,Federal Realty Investment Trust
Forterra Inc.,Forterra
Franklin Financial Network Inc.,Franklin Financial Network
FSB Bancorp Inc.,FSB Bancorp
FS Bancorp Inc.,FS Bancorp
ForeScout Technologies Inc.,ForeScout
First Trust High Income Long Short Fund of Beneficial Interest,First Trust High Income Long Short Fund of Beneficial Interest
First Savings Financial Group Inc.,First Savings Financial
Flexible Solutions International Inc. (CDA),Flexible Solutions International (CDA)
FS KKR Capital Corp.,FS KKR Capital
First Solar Inc.,First Solar
Fortuna Silver Mines Inc (Canada),Fortuna Silver Mines (Canada)
Fusion Connect Inc.,Fusion Connect
Franklin Street Properties Corp.,Franklin Street Properties
Federal Signal Corporation,Federal Signal
L.B. Foster Company,L.B. Foster Company
FirstService Corporation,FirstService
First Trust Switzerland AlphaDEX Fund,First Trust Switzerland AlphaDEX Fund
Franklin Universal Trust,Franklin Universal Trust
First Trust Large Cap Value AlphaDEX Fund,First Trust Large Cap Value AlphaDEX Fund
FinTech Acquisition Corp. III,FinTech Acquisition III
First Trust Indxx Global Agriculture ETF,First Trust Indxx Global Agriculture ETF
Fortress Transportation and Infrastructure Investors LLC,Fortress Transportation and Infrastructure Investors LLC
First Trust Large Cap Growth AlphaDEX Fund,First Trust Large Cap Growth AlphaDEX Fund
Farfetch Limited Class A,Farfetch Limited
First Trust Capital Strength ETF,First Trust Capital Strength ETF
FTD Companies Inc.,FTD Companies
