NAME,SHORTNAME
Aberdeen Global Dynamic Dividend Fund,Aberdeen Global Dynamic Dividend Fund
AgeX Therapeutics Inc.,AgeX Therapeutics
Agenus Inc.,Agenus
DB Agriculture Long ETN due April 1 2038,DB Agriculture Long ETN due April 1 2038
AgroFresh Solutions Inc.,AgroFresh Solutions
iShares Core U.S. Aggregate Bond,iShares Core U.S. Aggregate Bond
Alamos Gold Inc. Class A,Alamos Gold
Agios Pharmaceuticals Inc.,Agios Pharmaceuticals
Aeglea BioTherapeutics Inc.,Aeglea BioTherapeutics
Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage
Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage
AGM Group Holdings Inc.,AGM
Allergan plc,Allergan plc
AGNC Investment Corp.,AGNC Investment
Assured Guaranty Ltd.,Assured Guaranty
ProShares Ultra Silver,ProShares Ultra Silver
Avangrid Inc.,Avangrid
Adecoagro S.A.,Adecoagro S.A.
Agile Therapeutics Inc.,Agile Therapeutics
PlayAGS Inc.,PlayAGS
Applied Genetic Technologies Corporation,Applied Genetic
Argan Inc.,Argan
Agilysys Inc.,Agilysys
iShares Agency Bond,iShares Agency Bond
A.H. Belo Corporation (TX),A.H. Belo (TX)
Armada Hoffler Properties Inc.,Armada Hoffler Properties
Aspen Insurance Holdings Limited,Aspen Insurance Limited
Allied Healthcare Products Inc.,Allied Healthcare Products
Ashford Hospitality Trust Inc,Ashford Hospitality Trust
Arlington Asset Investment Corp Class A (new),Arlington Asset Investment (new)
iShares Asia 50 ETF,iShares Asia 50 ETF
Apollo Tactical Income Fund Inc.,Apollo Tactical Income Fund
American International Group Inc.,American International
Senmiao Technology Limited,Senmiao Technology Limited
Altra Industrial Motion Corp.,Altra Industrial Motion
Aimmune Therapeutics Inc.,Aimmune Therapeutics
Albany International Corporation,Albany International
Ashford Inc. (Holding Company),Ashford (Holding Company)
Apollo Investment Corporation,Apollo Investment
Precision Therapeutics Inc.,Precision Therapeutics
AAR Corp.,AAR
Airgain Inc.,Airgain
Air Industries Group,Air Industries
Air T Inc.,Air T
Applied Industrial Technologies Inc.,Applied Industrial
Apartment Investment and Management Company,Apartment Investment and Management Company
Assurant Inc.,Assurant
Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.
Aerojet Rocketdyne Holdings Inc.,Aerojet Rocketdyne
Great Ajax Corp.,Great Ajax
Akamai Technologies Inc.,Akamai
Achaogen Inc.,Achaogen
Akebia Therapeutics Inc.,Akebia Therapeutics
Akcea Therapeutics Inc.,Akcea Therapeutics
Akers Biosciences Inc.,Akers Biosciences
Asanko Gold Inc.,Asanko Gold
Embotelladora Andina S.A.,Embotelladora Andina S.A.
Embotelladora Andina S.A.,Embotelladora Andina S.A.
Alliance California Municipal Income Fund Inc,Alliance California Municipal Income Fund
Acadia Realty Trust,Acadia Realty Trust
Akorn Inc.,Akorn
AK Steel Holding Corporation,AK Steel Holding
Akoustis Technologies Inc.,Akoustis
Akari Therapeutics Plc,Akari Therapeutics Plc
Air Lease Corporation Class A,Air Lease
Alberton Acquisition Corporation,Alberton Acquisition
Albemarle Corporation,Albemarle
Albireo Pharma Inc.,Albireo Pharma
Alico Inc.,Alico
WisdomTree Asia Local Debt Fund,WisdomTree Asia Local Debt Fund
Alder BioPharmaceuticals Inc.,Alder BioPharmaceuticals
Aldeyra Therapeutics Inc.,Aldeyra Therapeutics
Allete Inc.,Allete
Alexander & Baldwin Inc. REIT Holding Company,Alexander & Baldwin REIT Holding Company
AlphaClone Alternative Alpha,AlphaClone Alternative Alpha
Alamo Group Inc.,Alamo
Align Technology Inc.,Align Technology
Allegro Merger Corp.,Allegro Merger
Allegiant Travel Company,Allegiant Travel Company
Alimera Sciences Inc.,Alimera Sciences
ALJ Regional Holdings Inc.,ALJ Regional
Alaska Air Group Inc.,Alaska Air
Alkermes plc,Alkermes plc
Allstate Corporation (The),Allstate (The)
Allegion plc,Allegion plc
Allakos Inc.,Allakos
Allogene Therapeutics Inc.,Allogene Therapeutics
Allot Ltd.,Allot
Ally Financial Inc.,Ally Financial
Allena Pharmaceuticals Inc.,Allena Pharmaceuticals
Alnylam Pharmaceuticals Inc.,Alnylam Pharmaceuticals
Alio Gold Inc. (Canada),Alio Gold (Canada)
AstroNova Inc.,AstroNova
Alpine Immune Sciences Inc.,Alpine Immune Sciences
Alliqua BioMedical Inc.,Alliqua BioMedical
Alarm.com Holdings Inc.,Alarm.com
Aileron Therapeutics Inc.,Aileron Therapeutics
Alaska Communications Systems Group Inc.,Alaska Communications Systems
Allison Transmission Holdings Inc.,Allison Transmission
Altimmune Inc.,Altimmune
Altus Midstream Company,Altus Midstream Company
Altair Engineering Inc.,Altair Engineering
Autoliv Inc.,Autoliv
Alexander's Inc.,Alexander's
